,nombre,precio,vendido,enlace
0,Tarjeta De Video Zotac Gaming Geforce Rtx 2080 Amp Extreme,"23,299",2 vendidos,https://articulo.mercadolibre.com.mx/MLM-664961538-tarjeta-de-video-zotac-gaming-geforce-rtx-2080-amp-extreme-_JM
1,Tarjeta De Video Nvidia Rtx 2080 8gb Ddr6 Oc Pny Xlr8 4k,"16,699",10 vendidos,https://articulo.mercadolibre.com.mx/MLM-664961538-tarjeta-de-video-zotac-gaming-geforce-rtx-2080-amp-extreme-_JM
2,Tarjeta De Video Rtx 2080 Ti 11gb Asus Rog Strix Ddr6,"28,599",10 vendidos,https://articulo.mercadolibre.com.mx/MLM-631948765-tarjeta-de-video-nvidia-rtx-2080-8gb-ddr6-oc-pny-xlr8-4k-_JM
3,Tarjeta De Video Zotac Geforce Rtx 2080 8gb Blower,"17,799",2 vendidos,https://articulo.mercadolibre.com.mx/MLM-631948765-tarjeta-de-video-nvidia-rtx-2080-8gb-ddr6-oc-pny-xlr8-4k-_JM
4,Tarjeta De Video Rtx 2080 Ti 11gb Asus Rog Strix Ddr6,"28,599",134 vendidos,https://articulo.mercadolibre.com.mx/MLM-653585544-tarjeta-de-video-rtx-2080-ti-11gb-asus-rog-strix-ddr6-_JM
5,Tarjeta De Video Evga Geforce Rtx 2080 Xc Ultra Gaming Ddr6,"22,999",2 vendidos,https://articulo.mercadolibre.com.mx/MLM-653585544-tarjeta-de-video-rtx-2080-ti-11gb-asus-rog-strix-ddr6-_JM
6,Tarjeta Video Asus Rog Strix Rtx 2080 Ti Oc 11gb Gddr6,"28,450",1 vendido,https://articulo.mercadolibre.com.mx/MLM-660254025-tarjeta-de-video-zotac-geforce-rtx-2080-8gb-blower-_JM
7,Tarjeta De Video Msi Geforce Rtx 2080 Sea Hawk X 8gb Ddr6,"22,999","</div>""",https://articulo.mercadolibre.com.mx/MLM-660254025-tarjeta-de-video-zotac-geforce-rtx-2080-8gb-blower-_JM
8,Tarjeta De Video Msi Geforce Rtx 2080 Ventus 8g Oc Ddr6,"19,599",2 vendidos,https://articulo.mercadolibre.com.mx/MLM-653564781-tarjeta-de-video-rtx-2080-ti-11gb-asus-rog-strix-ddr6-_JM
9,Tarjeta Video Geforce Gigabyte Rtx 2080 Gaming Oc 8gb Gddr6,"22,500",Estado De México,https://articulo.mercadolibre.com.mx/MLM-653564781-tarjeta-de-video-rtx-2080-ti-11gb-asus-rog-strix-ddr6-_JM
10,Tarjeta Gráfica Asus Geforce Rtx 2080 Ti Strix Oc 11gb Rgb,"31,364",1 vendido - Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-648565815-tarjeta-de-video-evga-geforce-rtx-2080-xc-ultra-gaming-ddr6-_JM
11,Tarjeta De Video Msi Geforce Rtx 2080 Gaming X Trio 8gb,"21,999","</div>""",https://articulo.mercadolibre.com.mx/MLM-648565815-tarjeta-de-video-evga-geforce-rtx-2080-xc-ultra-gaming-ddr6-_JM
12,Tarjeta De Video Evga Geforce Rtx 2080 Ti Xc Gaming,"32,999","</div>""",https://articulo.mercadolibre.com.mx/MLM-656438493-tarjeta-video-asus-rog-strix-rtx-2080-ti-oc-11gb-gddr6-_JM
13,Tarjeta De Video Nvidia Geforce Rtx 2080 Asus Dual Oc 8gb,"22,999",Nuevo León,https://articulo.mercadolibre.com.mx/MLM-656438493-tarjeta-video-asus-rog-strix-rtx-2080-ti-oc-11gb-gddr6-_JM
14,Tarjeta De Video Msi Geforce Rtx 2080 Sea Hawk X 8gb Ddr6,"23,999","</div>""",https://articulo.mercadolibre.com.mx/MLM-666381048-tarjeta-de-video-msi-geforce-rtx-2080-sea-hawk-x-8gb-ddr6-_JM
15,Tarjeta De Video Gamer Strix Rtx 2080ti Meses Sin Intereses,"37,568",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-666381048-tarjeta-de-video-msi-geforce-rtx-2080-sea-hawk-x-8gb-ddr6-_JM
16,Tarjeta Video Geforce Evga Rtx 2080 Ultra Gaming 8gb Gddr6,"23,300",Estado De México,https://articulo.mercadolibre.com.mx/MLM-648569318-tarjeta-de-video-msi-geforce-rtx-2080-ventus-8g-oc-ddr6-_JM
17,Tarjeta De Video Gamer Strix Rtx 2080ti Envio Gratis,"36,289",Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-648569318-tarjeta-de-video-msi-geforce-rtx-2080-ventus-8g-oc-ddr6-_JM
18,Asus Rog Strix Rtx 2080ti A11g Gaming 11gb Gddr6,"33,999",Baja California,https://articulo.mercadolibre.com.mx/MLM-646094512-tarjeta-video-geforce-gigabyte-rtx-2080-gaming-oc-8gb-gddr6-_JM
19,Msi T. Video Msi Nvidia Rtx 2080 Sea Hawk X 8gb Gddr6 Enfria,"26,348",1 vendido - Distrito Federal,https://articulo.mercadolibre.com.mx/MLM-646094512-tarjeta-video-geforce-gigabyte-rtx-2080-gaming-oc-8gb-gddr6-_JM
20,Tarjeta Video Geforce Asus Rtx 2080 Dual Oc 8gb Gddr6,"20,950",Estado De México,https://articulo.mercadolibre.com.mx/MLM-665432561-tarjeta-grafica-asus-geforce-rtx-2080-ti-strix-oc-11gb-rgb-_JM
21,Tarjeta De Video Nvidia Rtx 2080 Zotac Amp,"15,499",Usado - Estado De México,https://articulo.mercadolibre.com.mx/MLM-665432561-tarjeta-grafica-asus-geforce-rtx-2080-ti-strix-oc-11gb-rgb-_JM
